,A_name,A_code,B_name,B_code,t,p,crit_value_1,crit_value_5,crit_value_10,flag
489,南京证券,601990.SH,国盛金控,002670.SZ,-1.2021710725407944,0.6726610747130168,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
490,南京证券,601990.SH,东吴证券,601555.SH,-1.3606745219814196,0.6009773990496785,-3.4437660979098843,-2.8674565460819896,-2.569921291128696,False
491,南京证券,601990.SH,华泰证券,601688.SH,-2.0536988336192503,0.2635351977770421,-3.443849184997939,-2.8674931065091105,-2.569940776113236,False
492,南京证券,601990.SH,西部证券,002673.SZ,-1.4118364245118302,0.5765886174627686,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
493,南京证券,601990.SH,第一创业,002797.SZ,-1.8510974831839515,0.3554042020140135,-3.443849184997939,-2.8674931065091105,-2.569940776113236,False
494,南京证券,601990.SH,浙商证券,601878.SH,-2.24612840851355,0.18993126813747757,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
495,西南证券,600369.SH,红塔证券,601236.SH,-3.422897016714721,0.010202643120646936,-3.456780859712,-2.8731715065600003,-2.572968544,True
496,西南证券,600369.SH,中信证券,600030.SH,-1.392579019588579,0.5858286135223857,-3.4442214494657586,-2.8676569002144148,-2.5700280720682227,False
497,西南证券,600369.SH,财通证券,601108.SH,-2.6227381933686087,0.08838821584436324,-3.4437386290417082,-2.867444458865948,-2.5699148492415413,False
498,西南证券,600369.SH,光大证券,601788.SH,-1.9656848140126928,0.30181875501793953,-3.4439615820186846,-2.8675425624806605,-2.5699671340268937,False
499,西南证券,600369.SH,长江证券,000783.SZ,-1.8070264205706006,0.37697889304684723,-3.4437660979098843,-2.8674565460819896,-2.569921291128696,False
500,西南证券,600369.SH,华林证券,002945.SZ,-4.0092272615979985,0.0013629578851320843,-3.448645946352023,-2.869602139060357,-2.5710650077160495,True
501,西南证券,600369.SH,海通证券,600837.SH,-1.4809696759141437,0.5429034878268767,-3.4437660979098843,-2.8674565460819896,-2.569921291128696,False
502,西南证券,600369.SH,东北证券,000686.SZ,-1.4776258677257368,0.5445490462534551,-3.443905150512834,-2.867517732199813,-2.569953900520778,False
503,西南证券,600369.SH,中原证券,601375.SH,-3.257389597933842,0.016893971980396664,-3.443849184997939,-2.8674931065091105,-2.569940776113236,True
504,西南证券,600369.SH,东兴证券,601198.SH,-3.989950682142483,0.0014640562780503714,-3.443905150512834,-2.867517732199813,-2.569953900520778,True
505,西南证券,600369.SH,南京证券,601990.SH,-1.4673565870646639,0.5495933654824077,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
506,西南证券,600369.SH,东方证券,600958.SH,-3.406557653033926,0.010737342705047347,-3.4438213751870337,-2.867480869596464,-2.5699342544006987,True
507,西南证券,600369.SH,国信证券,002736.SZ,-1.7595485881994528,0.40072144532323395,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
508,西南证券,600369.SH,哈投股份,600864.SH,-1.934103779235039,0.31619154792942794,-3.4439333076538854,-2.8675301216074414,-2.56996050355167,False
509,西南证券,600369.SH,华创阳安,600155.SH,-2.0537371113915106,0.26351914491750955,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
510,西南证券,600369.SH,兴业证券,601377.SH,-1.7088064630764863,0.42658092947067355,-3.4438213751870337,-2.867480869596464,-2.5699342544006987,False
511,西南证券,600369.SH,方正证券,601901.SH,-3.1952441962842726,0.0202616194740828,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,True
512,西南证券,600369.SH,中银证券,601696.SH,-3.412499001215989,0.010540089955164856,-3.502704609582561,-2.8931578098779522,-2.583636712914788,True
513,西南证券,600369.SH,国金证券,600109.SH,0.8527954456610961,0.9924423119587146,-3.44407586647939,-2.867592847097137,-2.5699939338217668,False
514,西南证券,600369.SH,国海证券,000750.SZ,-2.202775683550945,0.2052395867279126,-3.4437660979098843,-2.8674565460819896,-2.569921291128696,False
515,西南证券,600369.SH,长城证券,002939.SZ,-3.3359676076421305,0.013345303661841414,-3.4461675720270404,-2.8685128587855955,-2.5704843086630915,True
516,西南证券,600369.SH,中泰证券,600918.SH,-0.5945651452212881,0.8722053583685625,-3.8092091249999998,-3.0216450000000004,-2.6507125,False
517,西南证券,600369.SH,华西证券,002926.SZ,-3.13046935348191,0.02437896193337839,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,True
518,西南证券,600369.SH,广发证券,000776.SZ,-3.7477731345228955,0.00348921558025644,-3.4438213751870337,-2.867480869596464,-2.5699342544006987,True
519,西南证券,600369.SH,哈高科,600095.SH,-0.4859675690229682,0.8947258645520765,-3.44407586647939,-2.867592847097137,-2.5699939338217668,False
520,西南证券,600369.SH,华鑫股份,600621.SH,0.06256472060428013,0.9634102959829753,-3.4437112724287253,-2.8674324209387345,-2.569908433637385,False
521,西南证券,600369.SH,国泰君安,601211.SH,-3.047198217350279,0.030715641286609224,-3.4438213751870337,-2.867480869596464,-2.5699342544006987,True
522,西南证券,600369.SH,锦龙股份,000712.SZ,-1.7076086306929572,0.42719660674683435,-3.4437386290417082,-2.867444458865948,-2.5699148492415413,False
523,西南证券,600369.SH,申万宏源,000166.SZ,-2.026694181516143,0.27499265254965066,-3.443905150512834,-2.867517732199813,-2.569953900520778,False
524,西南证券,600369.SH,天风证券,601162.SH,-2.124903168580087,0.23461951926779334,-3.446129402876608,-2.8684960761128346,-2.570475362616382,False
525,西南证券,600369.SH,招商证券,600999.SH,-0.11852699583267261,0.9475616196641136,-3.4439899743408136,-2.8675550551408353,-2.569973792117904,False
526,西南证券,600369.SH,太平洋,601099.SH,-4.201307099507743,0.0006555513554712557,-3.4437936797256317,-2.867468682890213,-2.5699277594606915,True
527,西南证券,600369.SH,华安证券,600909.SH,-1.2101951810818197,0.66919469768582,-3.443905150512834,-2.867517732199813,-2.569953900520778,False
528,西南证券,600369.SH,国投资本,600061.SH,-1.720620792360306,0.4205205614961882,-3.4437112724287253,-2.8674324209387345,-2.569908433637385,False
